"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 19 19:28:16 GMT 2024","Mon Aug 19 19:28:23 GMT 2024","7405","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testDelayedResponse","testDelayedResponse",""
"passed","Mon Aug 19 19:28:15 GMT 2024","Mon Aug 19 19:28:15 GMT 2024","359","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","testCreatePost","testCreatePost",""
"passed","Mon Aug 19 19:28:15 GMT 2024","Mon Aug 19 19:28:16 GMT 2024","427","Surefire suite","Surefire test","api.PostReqresInTest","api.PostReqresInTest","testCreatePostPojo","testCreatePostPojo",""
"passed","Mon Aug 19 19:28:14 GMT 2024","Mon Aug 19 19:28:15 GMT 2024","495","Surefire suite","Surefire test","api.PutReqresInTest","api.PutReqresInTest","testPutUpdateRequest","testPutUpdateRequest",""
"passed","Mon Aug 19 19:28:23 GMT 2024","Mon Aug 19 19:28:24 GMT 2024","382","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testListResource","testListResource",""
"passed","Mon Aug 19 19:28:23 GMT 2024","Mon Aug 19 19:28:23 GMT 2024","74","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testGetSingleUser","testGetSingleUser",""
"passed","Mon Aug 19 19:28:13 GMT 2024","Mon Aug 19 19:28:13 GMT 2024","326","Surefire suite","Surefire test","api.AutomationExerciseTest","api.AutomationExerciseTest","testRequestProductList","testRequestProductList",""
"passed","Mon Aug 19 19:28:11 GMT 2024","Mon Aug 19 19:28:13 GMT 2024","2211","Surefire suite","Surefire test","api.AutomationExerciseTest","api.AutomationExerciseTest","testApiGetAllProductsList","testApiGetAllProductsList",""
"passed","Mon Aug 19 19:28:15 GMT 2024","Mon Aug 19 19:28:15 GMT 2024","360","Surefire suite","Surefire test","api.DeleteReqresInTest","api.DeleteReqresInTest","testDelete","testDelete",""
"failed","Mon Aug 19 19:28:24 GMT 2024","Mon Aug 19 19:28:25 GMT 2024","390","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleResourceNotFound","testSingleResourceNotFound",""
"passed","Mon Aug 19 19:28:13 GMT 2024","Mon Aug 19 19:28:14 GMT 2024","729","Surefire suite","Surefire test","api.PutReqresInTest","api.PutReqresInTest","testPutUpdate","testPutUpdate",""
"passed","Mon Aug 19 19:28:24 GMT 2024","Mon Aug 19 19:28:24 GMT 2024","378","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleResource","testSingleResource",""
"passed","Mon Aug 19 19:28:23 GMT 2024","Mon Aug 19 19:28:23 GMT 2024","150","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testGetUsers","testGetUsers",""
"failed","Mon Aug 19 19:28:25 GMT 2024","Mon Aug 19 19:28:25 GMT 2024","353","Surefire suite","Surefire test","api.GetReqresInTest","api.GetReqresInTest","testSingleUserNotFound","testSingleUserNotFound",""
